seg_id	poem_id	average_all_annotators	sen_score	dictionary		
332	275	-0.6833	-7.40741	KNU_sentiment		
345	284	-0.71	-27.2727	KNU_sentiment		
349	287	-0.7667	4.34783	KNU_sentiment		
355	291	-0.7767	0	KNU_sentiment		
362	292	-0.96	0	KNU_sentiment		
366	292	-0.7167	0	KNU_sentiment		
372	293	-0.835	0	KNU_sentiment		
376	297	-0.72	-8.33333	KNU_sentiment		
377	298	-0.81	0	KNU_sentiment		
380	301	-0.8833	-11.1111	KNU_sentiment		
381	302	-0.31	-13.3333	KNU_sentiment		
384	305	-0.22	0	KNU_sentiment		
385	306	-0.1517	8.33333	KNU_sentiment		
388	309	-0.3367	-4.7619	KNU_sentiment		
389	310	-0.8457	0	KNU_sentiment		
393	314	-0.8383	0	KNU_sentiment		
398	319	-0.639	0	KNU_sentiment		
399	320	-0.7286	0	KNU_sentiment		
406	327	-0.5619	-18.1818	KNU_sentiment		
411	332	-0.5133	0	KNU_sentiment		
416	337	-0.9	-6.25	KNU_sentiment		
420	341	-0.8917	-11.5385	KNU_sentiment		
425	344	-0.5483	-12.9032	KNU_sentiment		
429	348	-0.6124	3.44828	KNU_sentiment		
433	351	-0.4133	0	KNU_sentiment		
441	357	-0.9333	-12.5	KNU_sentiment		
444	360	-0.53	0	KNU_sentiment		
445	361	-0.6167	-11.1111	KNU_sentiment		
446	362	-0.7102	10.5263	KNU_sentiment		
457	372	-0.7514	-14.2857	KNU_sentiment		
468	382	-0.0267	-33.3333	KNU_sentiment		
470	384	-0.3657	-10	KNU_sentiment		
472	386	-0.1138	0	KNU_sentiment		
474	388	-0.4971	7.14286	KNU_sentiment		
484	397	-0.0411	2.12766	KNU_sentiment		
485	398	-0.6978	-8.82353	KNU_sentiment		
495	400	-0.0078	0	KNU_sentiment		
497	400	-0.0217	2.27273	KNU_sentiment		
500	401	-0.6111	2.5	KNU_sentiment		
504	402	-0.2798	-2.77778	KNU_sentiment		
507	404	-0.4111	0	KNU_sentiment		
517	411	-0.55	-5.26316	KNU_sentiment		
519	412	-0.4889	-6.34921	KNU_sentiment		
524	415	-0.4364	0	KNU_sentiment		
529	417	-0.4917	-2.5641	KNU_sentiment		
533	419	-0.7633	0	KNU_sentiment		
534	419	-0.2778	-13.3333	KNU_sentiment		
536	420	-0.3979	-3.38983	KNU_sentiment		
540	421	-0.51	7.31707	KNU_sentiment		
541	422	-0.254	0	KNU_sentiment		
543	424	-0.64	-23.8095	KNU_sentiment		
550	431	-0.6067	-50	KNU_sentiment		
554	435	-0.42	0	KNU_sentiment		
558	439	-0.1583	0	KNU_sentiment		
561	442	-0.745	-5.55556	KNU_sentiment		
562	442	-0.4645	0	KNU_sentiment		
568	448	-0.8533	-1.69492	KNU_sentiment		
571	451	-0.6905	-1.40845	KNU_sentiment		
572	452	-0.9	0	KNU_sentiment		
573	453	-0.827	-3.84615	KNU_sentiment		
574	454	-0.8378	-3.57143	KNU_sentiment		
575	455	-0.575	-4.65116	KNU_sentiment		
576	456	-0.6933	2	KNU_sentiment		
581	460	-0.5433	-6.66667	KNU_sentiment		
582	461	-0.8	0	KNU_sentiment		
586	463	-0.81	0	KNU_sentiment		
590	464	-0.92	-7.5	KNU_sentiment		
591	464	-0.9778	-10.8108	KNU_sentiment		
592	465	-0.95	-14.2857	KNU_sentiment		
594	468	-0.95	-14.2857	KNU_sentiment		
597	471	-0.9778	-5.88235	KNU_sentiment		
601	475	-0.9167	-11.1111	KNU_sentiment		
602	476	-0.9064	-10	KNU_sentiment		
603	477	-1.0	-10.7143	KNU_sentiment		
606	480	-0.6367	-10.3448	KNU_sentiment		
607	481	-1.0	0	KNU_sentiment		
609	481	-0.8133	-2	KNU_sentiment		
611	482	-0.9267	0	KNU_sentiment		
613	482	-1.0	-4.34783	KNU_sentiment		
614	483	-0.46	-3.57143	KNU_sentiment		
